Nombre;Edad;RUN;Universidad;Carrera;Mail;Calculo;Algebra;Fisica;FPI
Jenny;51;18.362.933-0;UdChile;Informatica;Jenny@UdChile.edu;5.4;1.8;1.4;4.8
Valerye;46;26.688.621-7;UdChile;Electrica;Valerye@UdChile.edu;3.4;6.0;2.8;4.9
Della;52;26.754.650-1;Usach;Informatica;Della@Usach.cl;5.7;4.5;6.2;5.1
Petra;45;25.468.600-8;UCatolica;Informatica;Petra@UCatolica.edu;1.2;3.1;5.6;1.5
Selestina;38;29.861.517-3;UdChile;Informatica;Selestina@UdChile.edu;4.3;6.3;4.2;5.4
Loni;32;28.183.275-K;UdChile;Quimica;Loni@UdChile.edu;3.2;4.2;6.4;2.3
Charlot;37;22.963.076-K;UCatolica;Bachi;Charlot@UCatolica.edu;4.1;3.9;4.9;3.4
Sabra;29;25.030.965-6;Usach;Obras;Sabra@Usach.cl;2.8;3.0;1.9;6.8
Rhea;25;15.672.746-5;UdChile;Quimica;Rhea@UdChile.cl;1.5;1.9;6.8;3.1
Perla;46;21.294.279-K;UTEM;Obras;Perla@UTEM.cl;3.9;4.5;3.0;5.5
Amabel;21;14.969.171-K;UdChile;Electrica;Amabel@UdChile.edu;2.2;4.6;3.0;5.8
Christina;39;27.423.878-6;UTEM;Obras;Christina@UTEM.cl;6.3;2.0;3.5;1.6
Madalyn;38;14.158.161-0;UCatolica;Electrica;Madalyn@UCatolica.com;2.4;3.8;2.1;6.0
Gaylene;48;29.458.544-9;UdChile;Electrica;Gaylene@UdChile.cl;1.2;4.7;1.9;6.9
Aurelea;27;28.821.900-1;UCatolica;Bachi;Aurelea@UCatolica.cl;4.9;6.2;6.9;2.2
Nerita;24;17.552.885-5;UdChile;Informatica;Nerita@UdChile.cl;2.4;4.7;5.7;5.5
Alejandra;25;24.470.999-9;UCatolica;Obras;Alejandra@UCatolica.edu;2.2;6.7;1.3;3.9
Aindrea;30;19.802.211-4;UdChile;Bachi;Aindrea@UdChile.com;4.6;6.7;6.1;5.2
Laure;45;27.761.903-8;UCatolica;Obras;Laure@UCatolica.cl;6.8;2.2;4.0;5.8
Irma;20;26.981.348-K;UCatolica;Bachi;Irma@UCatolica.edu;1.8;2.9;4.3;1.7
Alvinia;20;22.473.537-3;UCatolica;Quimica;Alvinia@UCatolica.edu;2.0;2.0;6.6;2.8
Nolie;48;15.181.039-9;UCatolica;Obras;Nolie@UCatolica.cl;5.1;5.2;2.5;6.0
Alfie;52;25.150.512-9;UTEM;Quimica;Alfie@UTEM.com;4.2;4.9;6.2;6.0
Nada;51;11.823.686-7;Usach;Electrica;Nada@Usach.edu;6.6;5.0;1.5;4.7
Ethel;53;24.495.794-6;UCatolica;Informatica;Ethel@UCatolica.edu;5.0;6.7;5.2;2.0
Maisie;43;24.994.190-K;UCatolica;Quimica;Maisie@UCatolica.edu;6.2;3.5;3.9;2.8
Alyse;42;13.854.978-6;Usach;Electrica;Alyse@Usach.edu;6.7;2.3;1.2;2.6
Pattie;29;22.771.293-0;Usach;Quimica;Pattie@Usach.com;1.4;1.2;4.3;4.7
Christi;36;15.327.135-6;UTEM;Bachi;Christi@UTEM.edu;4.6;6.2;5.5;2.4
